,t,u,y
600,6.006006006006006,-25.0,-21.617913244224873
601,6.016016016016016,-25.0,-21.60403211165857
602,6.026026026026026,-25.0,-21.590376712095562
603,6.036036036036036,-25.0,-21.57694403284875
604,6.046046046046046,-25.0,-21.56373107770723
605,6.056056056056056,-25.0,-21.550734867888945
606,6.066066066066066,-25.0,-21.537952442936437
607,6.076076076076076,-25.0,-21.52538086155828
608,6.086086086086086,-25.0,-21.513017202418084
609,6.096096096096096,-25.0,-21.50085856487336
610,6.106106106106106,-25.0,-21.488902069666125
611,6.116116116116116,-25.0,-21.477144859567282
612,6.126126126126126,-25.0,-21.46558409997661
613,6.136136136136136,-25.0,-21.45421697948023
614,6.146146146146146,-25.0,-21.443040710367193
615,6.156156156156156,-25.0,-21.432052529107015
616,6.166166166166166,-25.0,-21.421249696789697
617,6.176176176176176,-25.0,-21.41062949952982
618,6.186186186186186,-25.0,-21.40018924883625
619,6.196196196196196,-25.0,-21.389926281948892
620,6.206206206206206,-25.0,-21.37983796214393
621,6.216216216216216,-25.0,-21.369921679008907
622,6.226226226226226,-25.0,-21.360174848688892
623,6.236236236236236,-25.0,-21.350594914105145
624,6.246246246246246,-25.0,-21.341179345147328
625,6.256256256256256,-25.0,-21.33192563884057
626,6.266266266266266,-25.0,-21.32283131948844
627,6.276276276276276,-25.0,-21.313893938792933
628,6.286286286286286,-25.0,-21.305111075952578
629,6.296296296296296,-25.0,-21.296480337739588
630,6.306306306306306,-25.0,-21.28799935855709
631,6.316316316316316,-25.0,-21.27966580047738
632,6.326326326326326,-25.0,-21.271477353262043
633,6.336336336336336,-25.0,-21.26343173436489
634,6.346346346346346,-25.0,-21.25552668891851
635,6.356356356356356,-25.0,-21.247759989705237
636,6.366366366366366,-25.0,-21.240129437113307
637,6.376376376376376,-25.0,-21.23263285907901
638,6.386386386386386,-25.0,-21.225268111015474
639,6.396396396396396,-25.0,-21.218033075728847
640,6.406406406406406,-25.0,-21.210925663322456
641,6.416416416416417,-25.0,-21.203943811089697
642,6.426426426426427,-25.0,-21.197085483396194
643,6.436436436436437,-25.0,-21.190348671551796
644,6.446446446446447,-25.0,-21.183731393673078
645,6.456456456456457,-25.0,-21.177231694536808
646,6.466466466466467,-25.0,-21.17084764542494
647,6.476476476476477,-25.0,-21.16457734396163
648,6.486486486486487,-25.0,-21.158418913942757
649,6.496496496496497,-25.0,-21.15237050515844
650,6.506506506506507,-25.0,-21.146430293208955
